UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
1154,3/4/18 21:23,3/4/18 21:33,IP Address,100,2284,TRUE,ALL,1/19/18 13:09,R_12Mz40MVOuKGN7H,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,POC,,Multiracial,No,N/A,Spiritual but not religious,Y,N,N,"Yes, solely","Cognitive science,Corpus linguistics,Phonetics,Phonology","Cognitive ,Formal,Generative",3,G,"Computational methods, Corpus methods,Experimental methods, Qualitative methods",4,Y,B,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,Assistant professor (non-tenure-track),I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,"Gender identity/presentation,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,Yes,No,Not sure,"		No",NR,No,Very good,Very good,Good,gotten better,5-10 years,stayed the same,5-10 years,I don't know/can't say,NR,No,Yes,"	No",Domestic partner/Long-term relationship,South or Central America,"North America, including the Caribbean "
1155,3/5/18 7:00,3/7/18 5:26,IP Address,100,680,TRUE,ALL,1/4/18 14:28,R_bC1rEgWnlVrd5Pb,anonymous,EN,Female,NR,NR,NR,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Documentary and descriptive linguistics,Historical linguistics,	Language contact,	Language evolution,Language variation,	Morphology,Typology","Formal,Functional",2,F,"Community-engaged research,Computational methods, Corpus methods,Ethnographic methods,Experimental methods, Field methods, Qualitative methods, Site-based research",8,Y,B,Y,"Linguistics,Anthropology",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,No,"	Ph.D","	10 - 20 years ago",Yes,Full professor,I currently work in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Sometimes,Often,Sometimes,Never,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,Gender identity/presentation,Particular subfields/other academics	,Race,		Religion",NA,Yes,Not sure,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","Joining a department,		Starting a collaboration		,Academic events in your department (colloquium talks, etc),		Fieldwork/a specific field site,	Other academic activities at a conference/workshop ,		Other social events at a conference/workshop,		Informal meetings",No,Good,Good,Fair,stayed the same,< 5 years,gotten better,< 5 years,I don't know/can't say,NA,Yes,No,Yes,Married,NR,"North America, including the Caribbean "
1156,3/6/18 9:51,3/6/18 9:52,IP Address,100,4924,TRUE,ALL,1/3/18 19:36,R_1obWErLlp1ZMUbZ,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Agnostic,Atheist",N,N,N,"Yes, solely","Documentary and descriptive linguistics,	Morphosyntax",Functional,1,F,"Corpus methods,Ethnographic methods, Field methods",3,N,C,Y,Linguistics,NA,NA,NA,,Q,NA,Q,,"North America, including the Caribbean",North America,No,No,"	Ph.D","	5 - 10 years ago",No,You don't. My position is (please specify),I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,NR,NA,NA,,,"		No","		No",NR,Yes,Very good,Very good,NR,stayed the same,10-20 years,stayed the same,10-20 years,NR,NR,No,Yes,"	No",Other,"North America, including the Caribbean ","North America, including the Caribbean "
1157,3/7/18 10:23,3/7/18 10:25,IP Address,100,1243,TRUE,ALL,1/5/18 18:35,R_C2J7zxgySWbB625,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,Yes,"Mental health / emotional disabilities,Would you like to be more specific?","Agnostic,Atheist,Spiritual but not religious",N,N,N,"Yes, solely","Philosophy of Language,	Pragmatics,Semantics","Formal,Generative",2,G,"Field methods, Qualitative methods",2,Y,O,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,"		Gender,Gender identity/presentation,		Nonnative English speakers,Particular subfields/other academics	,		Religion",NA,NA,,,Not sure,Not sure,"		Professional organization",No,Good,Very good,Very good,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
1158,3/7/18 12:25,3/7/18 12:43,IP Address,100,1872,TRUE,ALL,1/4/18 15:08,R_1kIxN8qUBjsH6My,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Catholic,Y,N,Y,"Yes, solely","Historical linguistics,Phonetics,Sociolinguistics ",You don't,1,O,"Community-engaged research,Experimental methods, Field methods",3,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,"	Ph.D",>30 years ago,Yes,Professor emeritus/emerita,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Never,Rarely,Rarely,Rarely,Never,Never,"		Ethnic groups",NA,NA,,,"		No",Not sure,NR,No,Good,Very good,Very good,gotten better,> 30 years,stayed the same,> 30 years,gotten better,> 30 years,Yes,Yes,"	No; it was not available",Married,"North America, including the Caribbean ","North America, including the Caribbean "
1159,3/8/18 16:36,3/8/18 16:50,IP Address,80,843,FALSE,ALL,1/28/18 12:52,R_1mgegBQxd3Wb1eH,anonymous,EN,Female,Bisexual,N,Multisexual+Queer,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","	First language acquisition,	Morphology,	Morphosyntax,Syntax",Generative,1,G,You don't,1,N,O,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,Yes,No,"	Ph.D",>30 years ago,Yes,Full professor,I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,No,No,Sometimes,Often,Rarely,Often,Rarely,Rarely,"Age	,		Ethnic groups,		Gender,		Nonnative English speakers,Particular subfields/other academics	,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Joining a (sub-)discipline	,Social events in your department,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Other social events at a conference/workshop,		Informal meetings",No,Fair,Bad,Good,gotten better,> 30 years,gotten better,> 30 years,stayed the same,> 30 years,NR,NR,,NR,NR,NR
1160,3/11/18 10:29,3/11/18 15:27,IP Address,84,309,FALSE,NONE,3/6/18 11:58,R_306UlSDLSrAMk1M,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1161,3/13/18 16:24,3/13/18 16:42,IP Address,100,422,TRUE,ALL,1/4/18 17:31,R_30k4wlo8lJOkPes,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Atheist,You don't",N,N,N,No,"	Linguistic Anthropology",You don't,1,O,"Community-engaged research,Ethnographic methods, Qualitative methods, Site-based research",4,Y,O,Y,Other (please specify),NA,Social Sciences Collegiate Division,NA,,Q,Interdisciplinary,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,No,"	Lecturer (non-permanent)",I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Never,Rarely,Never,Never,Never,"		Gender,		Nonnative English speakers",NA,NA,,,"		No","		No",NR,No,Other (please specify),Very good,Very good,NR,NR,NR,NR,NR,NR,No,No,NA,Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
1162,3/15/18 8:33,3/15/18 8:35,IP Address,100,1029,TRUE,ALL,1/7/18 7:05,R_2VyJBZXJiqvx7o2,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Language variation,	Linguistic Anthropology,Sociocultural linguistics,Sociolinguistics ",Functional,1,F,"Ethnographic methods, Field methods, Qualitative methods",3,Y,O,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Rarely,Sometimes,Sometimes,Rarely,Never,"		Gender,Gender identity/presentation,		Nationality	,Particular subfields/other academics	",NA,Yes,No,Yes,"		No","		Yes, I have been excluded (perhaps intentionally)","		Fieldwork/a specific field site",No,Fair,Good,NR,gotten better,5-10 years,gotten better,10-20 years,NR,NR,No,Yes,NA,Married,"North America, including the Caribbean ","North America, including the Caribbean "
1163,3/15/18 13:17,3/15/18 13:19,IP Address,76,731,FALSE,ALL,1/24/18 22:05,R_3dLBesMroTCNUkb,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Christian,Y,N,Y,"Yes, in addition to other descriptors","	First language acquisition,Language variation,Second language acquisition","Formal,Functional",2,F,"Corpus methods,Experimental methods",2,N,B,N,"Linguistics,Language/Area-specific department (click to receive more options in next question)",NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,Yes,No,"	Ph.D",Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,No,No,Rarely,Never,Rarely,Never,Rarely,Never,"		Nationality	,		Nonnative English speakers",NA,Yes,Not sure,It is ongoing,"		No",Not sure,NR,No,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,NR,NR,,NR,NR,NR
1164,3/15/18 13:20,3/15/18 13:56,IP Address,1,106,FALSE,NONE,1/27/18 9:13,R_21jquIreQDmWuJc,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1165,3/24/18 23:57,3/24/18 23:57,IP Address,84,416,FALSE,ALL,1/21/18 13:08,R_5uTALpLfES7NU3v,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Catholic,Y,N,Y,"Yes, in addition to other descriptors","Historical linguistics,Language variation,	Morphology,	Morphosyntax,Phonology,Semantics",Generative,1,G,"Computational methods,Experimental methods, Qualitative methods",3,Y,E,N,"Linguistics,Other (please specify)",NA,Biology,NA,,Linguistics,Linguistics,Y,,Europe,Europe,Yes,Yes,"	M.A. / M.S. / M. Ed.",NR,No,Graduate student,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,No,No,Rarely,Never,Rarely,Never,Never,Never,"		Nonnative English speakers",NA,NA,,,"		No","		No",NR,No,Good,Good,Good,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,NR,NR,,NR,NR,NR
1166,3/26/18 10:43,3/26/18 11:28,IP Address,100,896,TRUE,ALL,1/3/18 15:44,R_31MJSa6sfFzvORf,anonymous,EN,Female,Queer,N,Multisexual+Queer,POC,,Latinx,Yes,Deaf / hard-of-hearing,Atheist,N,N,N,"Yes, solely","Applied linguistics,Phonetics,Phonology,Second language acquisition,Signed language linguistics",Usage-based,1,O,Experimental methods,1,N,E,N,Other (please specify),NA,Deaf Studies,NA,,Deaf Studies,Language,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",Yes,Constantly,Often,Sometimes,Often,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,		Other language groups,		Skin color",NA,Yes,No,It is ongoing,"		Yes, I have been excluded (perhaps intentionally)",Not sure,"Social events in your department,Academic events in your department (colloquium talks, etc),Conference/workshop presentation,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Other social events at a conference/workshop,		Committee membership,		Informal meetings",No,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,No,No,NA,Other,"North America, including the Caribbean ","North America, including the Caribbean "
1167,3/26/18 13:32,3/26/18 13:59,IP Address,100,600,TRUE,ALL,1/4/18 13:05,R_1DDdtTpwMQjBwht,anonymous,EN,Female,Gay/Lesbian,N,Monosexual-gay/lesbian,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Signed language linguistics,Sociolinguistics",Usage-based,1,O,"Corpus methods,Experimental methods, Field methods, Qualitative methods",4,Y,B,Y,Other (please specify),NA,Sign Language Lab,NA,,NR,NR,NR,,Europe,Europe,No,No,Ph.D,Within the past 5 years,No,Postdoctoral scholar,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,Yes,No,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,"(Dis)ability status,Sexual orientation",NA,Yes,No,No,No,No,NR,Yes,Good,Good,Good,stayed the same,< 5 years,stayed the same,< 5 years,stayed the same,< 5 years,No,No,No,Domestic partner/Long-term relationship,Europe,Europe
1168,3/26/18 14:05,3/26/18 14:14,IP Address,100,779,TRUE,ALL,2/28/18 0:02,R_2D17mXL6HtLuZCg,anonymous,EN,Female,Asexual,N,Asexual-Umbrella,POC,,Multiracial,No,N/A,Protestant,Y,N,Y,"Yes, in addition to other descriptors","Phonetics,Phonology","Formal,Generative",2,G,"Computational methods, Corpus methods,Experimental methods, Field methods",4,N,B,Y,Linguistics,NA,NA,NA,,Q,NA,Q,,"North America, including the Caribbean",North America,No,Yes,ABD,Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,Yes,No,Rarely,Never,Rarely,Sometimes,Rarely,Never,"Ethnic groups, Gender,Particular subfields/other academics",NA,NA,,,No,No,NR,No,Fair,Good,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,NA,Single,"North America, including the Caribbean","North America, including the Caribbean"
1169,3/28/18 3:20,3/28/18 3:24,IP Address,100,465,TRUE,ALL,1/3/18 20:53,R_0PuZ41ONSxfhfsl,anonymous,EN,Female,NR,NR,NR,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, solely","Gesture studies, First language acquisition, Pragmatics,Semantics,Signed language linguistics","Formal,Generative",2,G,"Experimental methods, Field methods, Qualitative methods",3,Y,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,No,Ph.D,5 - 10 years ago,Yes,Assistant professor (tenure-track),I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,"(Dis)ability status, Gender,Gender identity/presentation, Nonnative English speakers,Particular subfields/other academics",NA,No,,No,Yes (other),No,"Social events in your department,Conference/workshop presentation, Other social events at a conference/workshop",No,Good,Fair,Bad,NR,NR,NR,NR,NR,NR,Yes,No,Yes,Married,"North America, including the Caribbean","North America, including the Caribbean"
1170,3/28/18 4:41,3/28/18 5:05,IP Address,0,704830,FALSE,NONE,2/1/18 19:42,R_1qgLikaHjGy63dx,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1171,4/6/18 14:05,4/6/18 14:29,IP Address,0,31,FALSE,NONE,1/21/18 4:17,R_21pm62tXfmsyMPX,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1172,4/11/18 14:47,4/11/18 14:57,IP Address,100,528,TRUE,ALL,1/5/18 11:34,R_UFrKl78B5odS0TL,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Spiritual but not religious,You donâ€°Ã›Âªt have an option that applies to me. I consider myself (please specify)",Y,N,N,No,Computational linguistics,NR,NR,NR,Corpus methods,1,N,C,N,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,No,No,B.A. / B.S.,NR,Yes,Tech industry,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,Yes,No,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,"Gender, Nonnative English speakers,Race",NA,Yes,No,No,Not sure,Yes (other),NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,Married,"North America, including the Caribbean","North America, including the Caribbean"
1173,4/17/18 1:09,4/17/18 1:34,IP Address,0,64,FALSE,NONE,1/17/18 17:37,R_doQg3ivJ1ivgrJv,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1174,4/18/18 18:14,4/18/18 18:40,IP Address,1,9,FALSE,NONE,1/26/18 11:21,R_242DoS1RLW1ngoB,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
1175,1/15/18 3:29,1/15/18 3:46,IP Address,76,1009,FALSE,ALL,1/29/18 3:46,R_2fcva2fOqAFTSCd,anonymous,EN,ANTI,NR,NR,NR,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,N/A,NR,No response,No response,No response,NR,"Corpus linguistics,Documentary and descriptive linguistics,Historical linguistics,","Linguistic Anthropology,Phonology",2,O,"Community-engaged research,Computational methods,Experimental methods,",4,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"Age, Religion",NA,Yes,No,No,Not sure,NR,NR,No,Fair,Fair,Fair,gotten better,< 5 years,gotten better,NA,gotten better,< 5 years,NR,NR,,NR,NR,NR
1176,4/22/18 12:02,4/22/18 12:26,IP Address,100,1454,TRUE,ALL,4/22/18 12:26,R_1q4bKJA0jPDnBqX,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,LatinX,No,NA,Agnostic,Y,N,N,"Yes, solely","Language contact, Linguistic Anthropology","Functional,Usage-based",2,F,"Corpus methods, Field methods",2,N,C,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,M.A. / M.S. / M. Ed.,Within the past 5 years,No,Graduate student,I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,No,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,"Gender, Nonnative English speakers,Particular subfields/other academics",NA,Yes,Yes,No,Not sure,Not sure,NR,No,Fair,Fair,Fair,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,Yes,Yes,No,Married,South or Central America,"North America, including the Caribbean"
1177,4/25/18 11:14,4/25/18 11:52,IP Address,100,2291,TRUE,ALL,4/25/18 11:52,R_3fHSPbA07T7v0q2,anonymous,EN,Male,Gay/Lesbian,N,Monosexual-gay/lesbian,POC,,Multiracial,No,NA,"Agnostic,Atheist",N,N,N,"Yes, in addition to other descriptors","Corpus linguistics,Historical linguistics,Phonetics,Phonology,Typology","Functional,Usage-based",2,F,"Corpus methods,Experimental methods",2,N,B,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,ABD,NR,No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,No,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,"Ethnic groups,Gender identity/presentation, Nationality ,Race,Sexual orientation",NA,Yes,No,No,"Yes, I have been excluded (perhaps intentionally)","Yes, I have been excluded (perhaps intentionally)","Joining a lab/research group, Starting a collaboration ,Social events in your department, Fieldwork/a specific field site, Conference/workshop dinner, Other social events at a conference/workshop, Informal meetings",No,Good,Good,Good,gotten better,< 5 years,gotten better,< 5 years,gotten better,< 5 years,No,No,NA,Single,South or Central America,"North America, including the Caribbean"
1178,4/26/18 13:43,4/26/18 14:05,IP Address,100,1296,TRUE,ALL,4/26/18 14:05,R_26bB05jWkzqzPr3,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,NA,Christian,Y,N,Y,"Yes, in addition to other descriptors","Cognitive science,Cognitive-functional linguistics,Corpus linguistics,Interpreting or Translation,Second language acquisition,Signed language linguistics","Cognitive ,Functional,Usage-based",3,F,"Corpus methods,Experimental methods",2,N,B,N,Language/Area-specific department (click to receive more options in next question),NA,NA,Other (please specify),Other,Language/Area-specific,Language,N,,Europe,Europe,No,No,M.A. / M.S. / M. Ed.,Within the past 5 years,Yes,Associate professor (tenured),I currently work in a lab-based research group,I have never done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,Yes,No,Often,Rarely,Sometimes,Often,Sometimes,Rarely,"(Dis)ability status, Ethnic groups, Gender, Nonnative English speakers,Particular subfields/other academics , Religion, Skin color",NA,NA,,,No,"Yes, I have been excluded (perhaps intentionally)",Informal meetings,No,Good,Good,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,No,Married,"North America, including the Caribbean",Europe
1179,4/28/18 11:06,4/29/18 15:45,IP Address,100,103097,TRUE,ALL,4/29/18 15:45,R_2WGM0vmuDfWUvjv,anonymous,EN,Male,Bisexual,N,Multisexual+Queer,POC,,LatinX,No,NA,"Atheist,Buddhist ,Spiritual but not religious",N,N,N,"Yes, in addition to other descriptors","Cognitive science,Cognitive-functional linguistics,Corpus linguistics,Gesture studies,Educational linguistics,Historical linguistics, Language evolution,Language variation, Morphology, Morphosyntax,Neurolinguistics,Philosophy of Language,Phonetics,Phonology, Pragmatics,Psychology of Language,Semantics,Sociolinguistics ,Syntax","Cognitive ,Functional,Usage-based",3,F,"Corpus methods,Experimental methods, Field methods, Site-based research",4,N,B,Y,"Linguistics,Language/Area-specific department (click to receive more options in next question)",NA,NA,Romance languages/studies,Romance,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,Yes,Yes,M.A. / M.S. / M. Ed.,Within the past 5 years,No,Graduate student,I have in the past worked in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,No,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,"Ethnic groups,Particular subfields/other academics",NA,NA,,,"Yes, I have been excluded (perhaps intentionally)","Yes, I have been excluded (perhaps intentionally)","Social events in your department,Academic events in your department (colloquium talks, etc), Other social events at a conference/workshop, Professional organization, Informal meetings, Formal meetings",Yes,Fair,Fair,Fair,stayed the same,5-10 years,stayed the same,5-10 years,stayed the same,5-10 years,No,No,NA,Domestic partner/Long-term relationship,South or Central America,"North America, including the Caribbean"
